customerPhone,cardLastFour,merchant,amount
919895822412,2824,Amazon India,36548
919842868828,4657,Zomato,13934
919883197857,2424,Lenskart,55802
919814265799,1488,Myntra,29157
919841227216,9279,Urban Company,3978
919885329037,4257,Meesho,55487
919839587039,8359,Lenskart,36963
919810872248,3615,Reliance Digital,45097
919847295260,3547,Nykaa,44618
919823718431,2519,Croma,13176
919858181396,6635,Urban Company,35171
919815831819,8527,Meesho,16861
919860806024,2291,Meesho,38927
919894374605,6925,Lenskart,25703
919819335534,1750,MakeMyTrip,38430
919820709497,4814,Swiggy,50323
919847308985,8428,Tata Cliq,21819
919859684848,6820,Nykaa,88341
919845833156,2169,Urban Company,83727
919832969840,9751,MakeMyTrip,21917
919872043515,7216,IRCTC,84386
919884752529,4598,AJIO,7831
919840742311,1525,AJIO,53081
919845935572,2084,Nykaa,74841
919852235350,4483,Zepto,52356
919896282117,8517,Zomato,35218
919828740864,5040,Meesho,71144
919845264581,8019,Lenskart,52850
919858586340,4593,Zomato,67284
919876238574,2489,Flipkart,14871
919830514014,3621,Reliance Digital,78672
919818526544,7304,Croma,78604
919872820592,9669,IRCTC,73012
919811540956,2876,Meesho,35473
919896028436,6573,Swiggy,38969
919868353204,3591,BookMyShow,925
919845351479,9201,BigBasket,67042
919824282218,5889,Blinkit,80318
919836697396,3504,Tata Cliq,21674
919882394227,9689,Amazon India,79004
919853507489,9005,Amazon India,15162
919858718453,6038,MakeMyTrip,8092
919842329237,2290,Myntra,64199
919819289546,9727,Zomato,17328
919898550256,8787,Meesho,22143
919845575298,9645,Urban Company,55961
919838427073,9835,Nykaa,93947
919851837852,7537,Tata Cliq,57922
919879467853,8397,Swiggy,32993
919840158366,2049,AJIO,3257
919888961459,4770,Lenskart,29364
919810965138,2163,Flipkart,30507
919819046318,1514,AJIO,9787
919879008866,4899,IRCTC,88184
919875151231,4510,Meesho,17842
919886644106,8744,MakeMyTrip,62493
919864634663,4119,Swiggy,13204
919898447167,8062,Tata Cliq,56019
919865177213,8651,Flipkart,88759
919897705310,2612,Flipkart,53272
919855540424,2790,MakeMyTrip,25612
919835529407,9786,BookMyShow,18873
919866623995,4006,IRCTC,61137
919843528453,2235,BookMyShow,72632
919823141087,1828,Meesho,2434
919822517517,4872,BigBasket,53769
919875181648,8886,Nykaa,53065
919817869910,3697,Croma,782
919862401521,5345,BookMyShow,37888
919866775103,8973,Zomato,25390
919849823450,4566,Flipkart,76414
919882772208,1998,AJIO,7992
919816729990,8811,Blinkit,70115
919831130263,1931,Blinkit,11000
919834941004,2122,Urban Company,9407
919841568532,7615,Swiggy,75168
919843046464,1651,Urban Company,11245
919866267415,9565,AJIO,34679
919837415205,6147,MakeMyTrip,35314
919863121477,3144,Paytm Mall,60429
919852436584,2188,Amazon India,60568
919893370583,2638,Myntra,70968
919838609087,9288,IRCTC,17861
919856843172,2127,MakeMyTrip,48934
919848250360,3584,BookMyShow,71700
919850603163,9666,Amazon India,88038
919884437458,5905,Swiggy,18101
919845496015,2891,Swiggy,73012
919830863865,5462,Paytm Mall,79776
919838270233,6617,Nykaa,90611
919895125977,5325,Blinkit,64532
919843704923,1832,Myntra,83636
919866851377,5533,Flipkart,964
919854769200,3143,IRCTC,21678
919869302158,8007,Meesho,1767
919825015458,2232,Zomato,72011
919814835614,7049,Lenskart,72920
919829876811,8041,Zomato,5982
919851373735,6974,Flipkart,47398
919838195995,5088,Swiggy,46857
